x,v
6.794861,-232.012645
5.143177,-271.196850
3.272216,-298.818684
1.261746,-313.700500
-0.802519,-315.207820
-2.832569,-303.276377
-4.741853,-278.414866
-6.448970,-241.683246
-7.881138,-194.647556
-8.977297,-139.313144
-9.690712,-78.039171
-9.990967,-13.438028
-9.865262,51.736039
-9.318955,114.704361
-8.375338,172.782308
-7.074641,223.493748
-5.472321,264.676621
-3.636690,294.575110
-1.646010,311.914505
0.414847,315.955548
2.458017,306.525950
4.396391,284.027739
6.147326,249.420116
7.636172,204.178566
8.799453,150.231942
